書く | かく | 카쿠 (쓰다)[글 서]
催促 | さいそく | 사이소쿠 (재촉)[재촉할 최/재촉할 촉]
再び | ふたたび | 후타타비 (다시)[다시 재]
与える | あたえる | 아타에루 (주다/부여하다)[줄 여]
差し当たり | さしあたり | 사시아타리 (우선/당장)[차이 차/마땅할 당]
冗談 | じょうだん | 죠우단 (농담)[쓸데없을 잉/말씀 담]
等しい | ひとしい | 히토시이 (같다/동등하다)[같을 등]
生える | はえる | 하에루 (나다/자라다)[날 생]
練習 | れんしゅう | 렌슈우 (연습)[익힐 연/익힐 습]
湖 | みずうみ | 미즈우미 (호수)[호수 호]
泳ぐ | およぐ | 오요구 (헤엄치다)[헤엄칠 영]
永遠 | えいえん | 에이엔 (영원)[길 영/멀 원]
曇る | くもる | 쿠모루 (흐리다)[흐릴 담]
非常に | ひじょうに | 히죠우니 (매우/대단히)[아닐 비/항상 상]
不思議 | ふしぎ | 후시기 (신기함/불가사의)[아닐 불/생각 사/의논할 의]
片思い | かたおもい | 카타오모이 (짝사랑)[조각 편/생각 사]
免許証 | めんきょしょう | 멘쿄쇼우 (면허증)[면할 면/허락할 허/증거 증]
涎 | よだれ | 요다레 (침/침흘림)[침 연]
厚い | あつい | 아츠이 (두껍다)[두터울 후]
環境 | かんきょう | 칸쿄우 (환경)[고리 환/지경 경]
展覧会 | てんらんかい | 텐란카이 (전람회)[펼 전/볼 람/모일 회]
習う | ならう | 나라우 (배우다)[익힐 습]
痩せる | やせる | 야세루 (살이 빠지다)[여윌 수]
盛り合わせ | もりあわせ | 모리아와세 (모둠/모둠 담음)[성할 성/합할 합]
物々しい | ものものしい | 모노모노시이 (삼엄하다/위압적이다)[물건 물]
畳む | たたむ | 타타무 (접다)[접을 첩]
暗い | くらい | 쿠라이 (어둡다)[어두울 암]
弄る | いじる | 이지루 (만지작거리다/손대다)[희롱할 농]
欠片 | かけら | 카케라 (조각)[이지러질 결/조각 편]
先端 | せんたん | 센탄 (끝/첨단)[먼저 선/끝 단]
カビ | カビ | 카비 (곰팡이)
絞る | しぼる | 시보루 (짜다/좁히다)[짤 교]
あくまで | あくまで | 아쿠마데 (끝까지/어디까지나)
有らゆる | あらゆる | 아라유루 (모든)
求める | もとめる | 모토메루 (구하다/요구하다)[구할 구]
退屈 | たいくつ | 타이쿠츠 (지루함)[물러날 퇴/굽을 굴]
口笛 | くちぶえ | 쿠치부에 (휘파람)[입 구/피리 적]
禁煙 | きんえん | 킨엔 (금연)[금할 금/연기 연]
こりごり | こりごり | 코리고리 (질림/학을 뗌)
密か | ひそか | 히소카 (몰래/은밀히)[빽빽할 밀]
ちょっぴり | ちょっぴり | 쵸삐리 (조금)
合わせる | あわせる | 아와세루 (맞추다/합치다)[합할 합]
どばどば | どばどば | 도바도바 (콸콸/펑펑)
卒論 | そつろん | 소츠론 (졸업논문)[마칠 졸/논할 론]
芸術 | げいじゅつ | 게이쥬츠 (예술)[재주 예/재주 술]
怠惰 | たいだ | 타이다 (태만)[게으를 태/게으를 타]
偶然 | ぐうぜん | 구우젠 (우연)[짝 우/그럴 연]
捜索 | そうさく | 소우사쿠 (수색/탐색)[찾을 수/찾을 색]
解釈 | かいしゃく | 카이샤쿠 (해석)[풀 해/풀 석]
一致 | いっち | 잇치 (일치)[한 일/이를 치]
吹く | ふく | 후쿠 (불다)[불 취]
立ち込める | たちこめる | 타치코메루 (가득 차다/자욱해지다)[설 립/들 입]
発散 | はっさん | 핫산 (발산)[필 발/흩을 산]
固執 | こしつ | 코시츠 (고집/집착)[굳을 고/잡을 집]
理不尽 | りふじん | 리후진 (불합리함)[다스릴 리/다할 진]
仕組み | しくみ | 시쿠미 (구조/시스템)[섬길 사/짜다]
怠る | おこたる | 오코타루 (게을리하다)[게으를 태]
嫌気 | いやけ | 이야케 (싫증/염증)[싫어할 혐/기운 기]
欠ける | かける | 카케루 (깨지다/부족하다)[이지러질 결]
お土産 | おみやげ | 오미야게 (선물/기념품)[흙 토/낳을 산]
直接 | ちょくせつ | 쵸쿠세츠 (직접)[곧을 직/이을 접]
理由 | りゆう | 리유우 (이유)[다스릴 리/말미암을 유]
繰り返す | くりかえす | 쿠리카에스 (반복하다)[감을 규/돌이킬 반]
温もり | ぬくもり | 누쿠모리 (온기)[따뜻할 온]
恋愛 | れんあい | 렌아이 (연애)[그리워할 연/사랑 애]
恋しい | こいしい | 코이시이 (그립다)[그리워할 연]
汗 | あせ | 아세 (땀)[땀 한]
黄昏 | たそがれ | 타소가레 (황혼)[누를 황/어두울 혼]
梅雨 | つゆ | 츠유 (장마)[매화 매/비 우]
ほうれん草 | ほうれんそう | 호우렌소우 (시금치)
納豆 | なっとう | 낫토우 (낫토)[들일 납/콩 두]
増す | ます | 마스 (늘다/증가하다)[더할 증]
半熟 | はんじゅく | 한주쿠 (반숙)[반 반/익을 숙]
組み合わせ | くみあわせ | 쿠미아와세 (조합/조합하다)[짤 조/합할 합]
津波 | つなみ | 츠나미 (쓰나미/지진해일)[나루 진/물결 파]
浮気 | うわき | 우와키 (바람/변심)[뜰 부/기운 기]
聴く | きく | 키쿠 (듣다/귀 기울여 듣다)[들을 청]
和菓子 | わがし | 와가시 (일본 과자)[화할 화/과자 과/아들 자]
丸 | まる | 마루 (원/동그라미)[둥글 환]
微妙 | びみょう | 비묘우 (미묘하다)[작을 미/묘할 묘]
腰 | こし | 코시 (허리)[허리 요]
爆撃 | ばくげき | 바쿠게키 (폭격)[터질 폭/칠 격]
弾く | ひく | 히쿠 (연주하다/튕기다)[탈 탄]
晩御飯 | ばんごはん | 방고한 (저녁밥)[늦을 만/밥 반]
物語 | ものがたり | 모노가타리 (이야기)[물건 물/말씀 어]
縦 | たて | 타테 (세로)[세로 종]
涼しい | すずしい | 스즈시이 (시원하다)[서늘할 량]
趣味 | しゅみ | 슈미 (취미)[뜻 취/맛 미]
鼻 | はな | 하나 (코)[코 비]
夕方 | ゆうがた | 유우가타 (저녁 무렵)[저녁 석/모 방]
街 | まち | 마치 (거리/번화가)[거리 가]
連れる | つれる | 츠레루 (데리고 가다)[이을 련]
鳴く | なく | 나쿠 (동물이 울다)[울 명]
飼う | かう | 카우 (기르다)[기를 사]
取替え | とりかえ | 토리카에 (교체)[가질 취/바꿀 환]
看板 | かんばん | 칸반 (간판)[볼 간/널빤지 판]
折れる | おれる | 오레루 (부러지다)[꺾을 절]
植える | うえる | 우에루 (심다)[심을 식]
針 | はり | 하리 (바늘)[바늘 침]
共感 | きょうかん | 쿄우칸 (공감)[함께 공/느낄 감]
共に | ともに | 토모니 (함께)[함께 공]
乱暴 | らんぼう | 란보우 (난폭함)[어지러울 란/사나울 폭]
暴れる | あばれる | 아바레루 (난동부리다)[사나울 폭]
満開 | まんかい | 만카이 (만개)[찰 만/필 개]
建設 | けんせつ | 켄세츠 (건설)[세울 건/세울 설]
得る | える | 에루 (얻다)[얻을 득]
取得 | しゅとく | 슈토쿠 (취득)[가질 취/얻을 득]
危惧 | きぐ | 키구 (우려)[위태할 위/두려워할 구]
司令官 | しれいかん | 시레이칸 (사령관)[맡을 사/명령 령/벼슬 관]
迷惑 | めいわく | 메이와쿠 (민폐/폐)[미혹할 미/미혹할 혹]
計算 | けいさん | 케이산 (계산)[셀 계/셈 산]
投票 | とうひょう | 토우효우 (투표)[던질 투/표 표]
余す | あます | 아마스 (남기다)[남을 여]
叶う | かなう | 카나우 (이루어지다)[이룰 협]
羨ましい | うらやましい | 우라야마시이 (부럽다)[부러워할 선]
実施 | じっし | 짓시 (실시)[열매 실/베풀 시]
限らず | かぎらず | 카기라즈 (~에 한하지 않고)[한계 한]
生々しい | なまなましい | 나마나마시이 (생생하다)[날 생]
原宿 | はらじゅく | 하라주쿠 (하라주쿠)[근원 원/묵을 숙]
余暇 | よか | 요카 (여가)[남을 여/겨를 가]
床 | ゆか | 유카 (바닥)[평상 상]
姫 | ひめ | 히메 (공주)[계집 희]
仲間 | なかま | 나카마 (동료/친구)[버금 중/사이 간]
賭博 | とばく | 토바쿠 (도박)[걸 도/넓을 박]
誕生 | たんじょう | 탄죠우 (탄생)[태어날 탄/날 생]
便利 | べんり | 벤리 (편리)[편할 편/이로울 리]
販売 | はんばい | 한바이 (판매)[팔 판/팔 매]
商う | あきなう | 아키나우 (장사하다)[장사 상]
乾燥 | かんそう | 칸소우 (건조)[마를 건/마를 조]
洗剤 | せんざい | 센자이 (세제)[씻을 세/약제 제]
柔軟 | じゅうなん | 쥬우난 (유연함)[부드러울 유/연할 연]
目安 | めやす | 메야스 (기준/목표)[눈 목/편안 안]
暮らし | くらし | 쿠라시 (생활)[저물 모]
洗浄 | せんじょう | 센죠우 (세정)[씻을 세/깨끗할 정]
開催 | かいさい | 카이사이 (개최)[열 개/베풀 최]
角 | かど | 카도 (모서리)[뿔 각]
恐れ | おそれ | 오소레 (두려움)[두려울 공]
実況 | じっきょう | 짓쿄우 (실황)[열매 실/하소연할 황]
何れ | いずれ | 이즈레 (언젠가/어느 쪽)[어찌 하]
新幹線 | しんかんせん | 신칸센 (신칸센)[새 신/줄기 간/줄 선]
梨 | なし | 나시 (배)[배 리]
味噌汁 | みそしる | 미소시루 (된장국)[맛 미/장 담/국 즙]
調子 | ちょうし | 쵸우시 (상태/컨디션)[고를 조/아들 자]
幼馴染み | おさななじみ | 오사나나지미 (소꿉친구)[어릴 유/길들일 순/물들일 염]
継承 | けいしょう | 케이쇼우 (계승)[이을 계/이을 승]
滝 | たき | 타키 (폭포)[폭포 롱]
奢る | おごる | 오고루 (한턱내다/사주다)[사치할 사]
画像 | がぞう | 가조우 (이미지/화상)[그림 화/모양 상]
矢印 | やじるし | 야지루시 (화살표)[화살 시/도장 인]
人見知り | ひとみしり | 히토미시리 (낯가림)[사람 인/볼 견/알 지]
おいっ子 | おいっこ | 오잇코 (조카(남))[조카 질]
絡まる | からまる | 카라마루 (얽히다)[얽힐 락]
水面 | みなも | 미나모 (수면)[물 수/낯 면]
稽古 | けいこ | 케이코 (연습/수련)[상고할 계/옛 고]
早速 | さっそく | 삿소쿠 (곧바로/즉시)[빠를 속]
ややこしい | ややこしい | 야야코시이 (복잡하다/헷갈리다)
例えば | たとえば | 타토에바 (예를 들면)
回答 | かいとう | 카이토우 (회답)[돌아올 회/대답 답]
挟む | はさむ | 하사무 (끼우다/사이에 두다)[낄 협]
競争 | きょうそう | 쿄우소우 (경쟁)[다툴 경/다툴 쟁]
すっぴん | すっぴん | 슷핀 (민낯/화장 안 한 얼굴)
日常 | にちじょう | 니치죠우 (일상)[날 일/항상 상]
象 | ぞう | 조우 (코끼리)[코끼리 상]
俄 | にわか | 니와카 (갑자기/벼락)[갑자기 아]
今更 | いまさら | 이마사라 (이제 와서)[이제 금/다시 갱]
変更 | へんこう | 헨코우 (변경)[변할 변/고칠 경]
幼児 | ようじ | 요우지 (유아)[어릴 유/아이 아]
一般 | いっぱん | 잇판 (일반)[한결같을 일/가지 반]
道路 | どうろ | 도우로 (도로)[길 도/길 로]
居る | いる | 이루 (있다(생물))[있을 거]
語彙力 | ごいりょく | 고이료쿠 (어휘력)[말씀 어/무리 휘/힘 력]
浅い | あさい | 아사이 (얕다)[얕을 천]
揃える | そろえる | 소로에루 (가지런히 하다/맞추다)[가지런할 전]
絶える | たえる | 타에루 (끊어지다)[끊을 절]
ゴマ油 | ごまあぶら | 고마아부라 (참기름)[기름 유]
結ぶ | むすぶ | 무스부 (묶다/잇다)[맺을 결]
整える | ととのえる | 토토노에루 (정리하다/정돈하다)[가지런할 정]
模範 | もはん | 모한 (모범)[본뜰 모/법 범]
大将 | たいしょう | 타이쇼우 (대장)[큰 대/장수 장]
肘 | ひじ | 히지 (팔꿈치)[팔꿈치 주]
含める | ふくめる | 후쿠메루 (포함하다)[머금을 함]
在り来り | ありきたり | 아리키타리 (흔한/평범한)[있을 재/올 래]
ダイジェスト | ダイジェスト | 다이제스토 (다이제스트/요약)
調える | ととのえる | 토토노에루 (정돈하다/갖추다)[고를 조]
理屈 | りくつ | 리쿠츠 (이치/핑계)[다스릴 리/굽을 굴]
間抜け | まぬけ | 마누케 (얼간이/멍청이)[사이 간/빠질 발]
耐える | たえる | 타에루 (견디다)[견딜 내]
駄目 | だめ | 다메 (안 됨/소용없음)[짐말 다/눈 목]
優れる | すぐれる | 스구레루 (뛰어나다)[뛰어날 우]
野郎 | やろう | 야로우 (녀석)[들 야/사내 랑]
騒ぎ | さわぎ | 사와기 (소란/소동)[떠들 소]
抜群 | ばつぐん | 바츠군 (탁월함)[뺄 발/무리 군]
お宝 | おたから | 오타카라 (보물)[보배 보]
覗く | のぞく | 노조쿠 (엿보다)[엿볼 조]
自衛 | じえい | 지에이 (자위)[스스로 자/지킬 위]
近寄る | ちかよる | 치카요루 (다가가다)[가까울 근/부칠 기]
額 | ひたい | 히타이 (이마)[이마 액]
捧げる | ささげる | 사사게루 (바치다)[받들 봉]
判子 | はんこ | 한코 (도장)[판단할 판/아들 자]
非常 | ひじょう | 히죠우 (비상)[아닐 비/항상 상]
仕草 | しぐさ | 시구사 (몸짓/행동)[섬길 사/풀 초]
高鳴る | たかなる | 타카나루 (두근거리다)[높을 고/울 명]
踏み締める | ふみしめる | 후미시메루 (힘껏 밟다/되새기다)[밟을 답]
中身 | なかみ | 나카미 (내용물)[가운데 중/몸 신]
其れなり | それなり | 소레나리 (그 나름대로)[그 기]
褒める | ほめる | 호메루 (칭찬하다)[기릴 포]
撫でる | なでる | 나데루 (쓰다듬다)[어루만질 무]
貰う | もらう | 모라우 (받다)[받을 료]
常に | つねに | 츠네니 (항상)[항상 상]
取り扱い | とりあつかい | 토리아츠카이 (취급)[가질 취/다룰 취]
伴う | ともなう | 토모나우 (동반하다)[짝 반]
波 | なみ | 나미 (파도)[물결 파]
纏め | まとめ | 마토메 (정리/요약)[얽을 전]
鈍い | にぶい | 니부이 (둔하다/무디다)[무딜 둔]
呆れる | あきれる | 아키레루 (어이없다/질리다)[멍할 매]
褒美 | ほうび | 호우비 (포상/상)[기릴 포/아름다울 미]
決して | けっして | 켓시테 (결코)[결단할 결]
随分 | ずいぶん | 즈이분 (꽤/상당히)[따를 수/나눌 분]
焦れったい | じれったい | 지렛타이 (답답하다/안달나다)[탈 초]
図星 | ずぼし | 즈보시 (정곡/정답)[그림 도/별 성]
胸 | むね | 무네 (가슴)[가슴 흉]
鑑賞 | かんしょう | 칸쇼우 (감상)[거울 감/즐길 상]
明かり | あかり | 아카리 (불빛/밝음)[밝을 명]
蘇る | よみがえる | 요미가에루 (되살아나다/부활하다)[되살아날 소]
臭い | くさい | 쿠사이 (냄새나다)[냄새 취]
土 | つち | 츠치 (흙)[흙 토]
ずらす | ずらす | 즈라스 (옮기다/비켜 놓다)
臨場感 | りんじょうかん | 린죠우칸 (현장감)[임할 림/마당 장/느낄 감]
枠 | わく | 와쿠 (틀/범위)[테두리 틀]
囁く | ささやく | 사사야쿠 (속삭이다)[속삭일 절]
期待 | きたい | 키타이 (기대)[기약할 기/기다릴 대]
癖 | くせ | 쿠세 (버릇/습관)[버릇 벽]
訪れ | おとずれ | 오토즈레 (방문/찾아옴)[찾을 방]
畑 | はたけ | 하타케 (밭)[밭 전]
わかめ | わかめ | 와카메 (미역)
海苔 | のり | 노리 (김)[바다 해/이끼 태]
終盤 | しゅうばん | 슈우반 (종반/막바지)[마칠 종/소반 반]
希望 | きぼう | 키보우 (희망)[바랄 희/바랄 망]
緊急 | きんきゅう | 킨큐우 (긴급)[팽팽할 긴/급할 급]
対策 | たいさく | 타이사쿠 (대책)[대할 대/꾀 책]
手袋 | てぶくろ | 테부쿠로 (장갑)[손 수/주머니 대]
怪我 | けが | 케가 (부상/상처)[괴이할 괴/나 아]
岩 | いわ | 이와 (바위)[바위 암]
任意 | にんい | 닌이 (임의)[맡길 임/뜻 의]
責任 | せきにん | 세키닌 (책임)[꾸짖을 책/맡길 임]
羽織る | はおる | 하오루 (걸치다)[깃 우/짤 직]
靴擦れ | くつずれ | 쿠츠즈레 (신발 쓸림)[신 화/문지를 찰]
絆創膏 | ばんそうこう | 반소우코우 (반창고)[인연 반/상처 창/고약 고]
履き物 | はきもの | 하키모노 (신발)[신을 리/물건 물]
草履 | ぞうり | 조우리 (조리/짚신)[풀 초/신 리]
挫く | くじく | 쿠지쿠 (삐다/꺾다)[꺾을 좌]
機械 | きかい | 키카이 (기계)[틀 기/기계 계]
覚悟 | かくご | 카쿠고 (각오)[깨달을 각/깨달을 오]
数多 | あまた | 아마타 (수많이)[셀 수/많을 다]
芽生える | めばえる | 메바에루 (싹트다/생겨나다)[싹 아]
経験 | けいけん | 케이켄 (경험)[지날 경/시험 험]
猛獣 | もうじゅう | 모우쥬우 (맹수)[사나울 맹/짐승 수]
味方 | みかた | 미카타 (편/아군)[맛 미/쪽 방]
正義 | せいぎ | 세이기 (정의)[바를 정/옳을 의]
味わい | あじわい | 아지와이 (맛/풍미/멋)[맛 미]
防災 | ぼうさい | 보우사이 (방재/재해 예방)[막을 방/재앙 재]
驚愕 | きょうがく | 쿄우가쿠 (경악)[놀랄 경/놀랄 악]
捕らわれる | とらわれる | 토라와레루 (사로잡히다/붙잡히다)[잡을 포]
出汁 | だし | 다시 (육수)
囁く | ささやく | 사사야쿠 (속삭이다)[소곤거릴 섭]
囁き合う | ささやきあう | 사사야키아우 (서로 속삭이다)[소곤거릴 섭]
たどり着く | たどりつく | 타도리츠쿠 (겨우 도착하다/다다르다)
さっぱり | さっぱり | 삿파리 (개운하게/전혀)
膝 | ひざ | 히자 (무릎)[무릎 슬]
扱い | あつかい | 아츠카이 (취급/대우)[다룰 취]
支度 | したく | 시타쿠 (준비/채비)[지탱할 지/헤아릴 도]
貝柱 | かいばしら | 카이바시라 (조개관자/관자)[조개 패/기둥 주]
小遣い | こづかい | 코즈카이 (용돈)[작을 소/보낼 견]
列伝 | れつでん | 레츠덴 (열전/인물전)[벌일 열/전할 전]
真夏日 | まなつび | 마나츠비 (한여름 더위의 날)[참 진/여름 하/날 일]
上回る | うわまわる | 우와마와루 (웃돌다/상회하다)[위 상/돌 회]
滑らか | なめらか | 나메라카 (매끄럽다/부드럽다)[미끄러울 활]
中途半端 | ちゅうとはんぱ | 츄우토한파 (어중간함/미완성)[가운데 중/길 도/반 반/끝 단]
受信 | じゅしん | 쥬신 (수신)[받을 수/믿을 신]
設定 | せってい | 세테이 (설정)[베풀 설/정할 정]
胴上げ | どうあげ | 도우아게 (헹가래)[몸통 동/올릴 상]
谷 | たに | 타니 (계곡)[골 곡]
触る | さわる | 사와루 (만지다/건드리다)[닿을 촉]
鳴る | なる | 나루 (울리다/소리가 나다)[울 명]
枯れる | かれる | 카레루 (시들다/마르다)[마를 고]
脇 | わき | 와키 (옆/겨드랑이)[겨드랑이 협]
賑やか | にぎやか | 니기야카 (번화하다/떠들썩하다)[번화할 진]
半ば | なかば | 나카바 (중간/절반쯤)[반 반]
それ故に | それゆえに | 소레유에니 (그러므로/그렇기 때문에)
没 | ぼつ | 보츠 (몰수/사망/몰락)[잠길 몰]
勇敢 | ゆうかん | 유우칸 (용감함)[날랠 용/감히 감]
占い | うらない | 우라나이 (점/점치기)[점칠 점]
鮮やか | あざやか | 아자야카 (선명하다/화려하다)[고울 선]
粗筋 | あらすじ | 아라스지 (줄거리/개요)[거칠 조/힘줄 근]
厄介 | やっかい | 얏카이 (귀찮음/폐를 끼침)[재앙 액/낄 개]
怖じ気 | おじけ | 오지케 (겁/겁먹는 마음)[두려울 포/기운 기]
愚か | おろか | 오로카 (어리석다)[어리석을 우]
逆らう | さからう | 사카라우 (거스르다/반항하다)[거스를 역]
遥か | はるか | 하루카 (아득히/훨씬)[멀 요]
彼方 | かなた | 카나타 (저쪽/저편)[저 피/모 방]
